"county_code","date_id","Trump","Clinton","Johnson","Stein"
9005,"0917",3.05,6.79,0,0
9007,"0917",3.27,6.46,0,0
9009,"0917",2.89,5.84,0,0
9011,"0917",2.71,5.57,0,0
9013,"0917",2.36,4.98,0,0
9015,"0917",2.62,5.18,0,0
10001,"0917",2.08,4.80,0,0
10003,"0917",2.68,5.06,0,0
10005,"0917",2.68,6.52,0,0
12001,"0917",2.19,5.43,0,0
12003,"0917",1.55,4.81,0,0
12005,"0917",2.04,5.90,0,0
12007,"0917",2.25,4.88,0,0
12009,"0917",2.48,6.22,0,0
12011,"0917",2.90,4.66,0,0
12013,"0917",2.60,6.23,0,0
12015,"0917",2.97,7.05,0,0
12017,"0917",3.03,7.22,0,0
12019,"0917",2.31,6.13,0,0
12021,"0917",4.54,7.01,0,0
12023,"0917",1.68,5.31,0,0
12027,"0917",2.76,5.52,0,0
12029,"0917",1.56,5.03,0,0
12031,"0917",2.23,5.35,0,0
12033,"0917",2.51,5.68,0,0
12035,"0917",3.92,7.33,0,0
12037,"0917",3.18,6.70,0,0
12039,"0917",1.91,5.26,0,0
12041,"0917",2.41,6.33,0,0
12043,"0917",2.15,3.55,0,0
12045,"0917",1.54,6.95,0,0
12047,"0917",7.79,8.07,0,0
12049,"0917",3.62,6.41,0,0
12051,"0917",3.23,3.75,0,0
12053,"0917",2.66,6.15,0,0
12055,"0917",2.70,5.58,0,0
12057,"0917",2.55,5.36,0,0
12059,"0917",2.63,4.38,0,0
12061,"0917",3.90,7.98,0,0
12063,"0917",2.55,6.14,0,0
12065,"0917",1.62,6.16,0,0
12067,"0917",2.55,2.87,0,0
12069,"0917",2.84,6.17,0,0
12071,"0917",4.54,5.94,0,0
12073,"0917",2.08,4.79,0,0
12075,"0917",2.16,5.67,0,0
12077,"0917",1.71,6.55,0,0
12079,"0917",0.93,3.39,0,0
12081,"0917",3.22,6.11,0,0
12083,"0917",3.00,5.78,0,0
12085,"0917",3.11,6.68,0,0
12086,"0917",2.90,4.12,0,0
12087,"0917",2.55,5.25,0,0
12089,"0917",3.02,7.47,0,0
12091,"0917",2.45,6.36,0,0
12093,"0917",2.06,3.55,0,0
12095,"0917",2.51,4.84,0,0
12097,"0917",2.13,4.22,0,0
12099,"0917",3.12,5.96,0,0
12101,"0917",3.13,6.64,0,0
12103,"0917",2.78,6.18,0,0
12105,"0917",2.34,4.62,0,0
12107,"0917",1.93,4.30,0,0
12109,"0917",2.93,7.31,0,0
12111,"0917",3.19,5.79,0,0
12113,"0917",2.70,6.45,0,0
12115,"0917",3.03,6.93,0,0
12117,"0917",2.68,5.83,0,0
12119,"0917",4.58,8.37,0,0
12121,"0917",1.27,4.59,0,0
12123,"0917",1.03,5.17,0,0
12125,"0917",1.78,4.50,0,0
12127,"0917",2.52,5.84,0,0
12129,"0917",2.72,6.46,0,0
12131,"0917",2.20,7.41,0,0
12133,"0917",3.52,6.44,0,0
13001,"0917",2.04,3.53,0,0
13003,"0917",3.74,6.55,0,0
13005,"0917",3.32,4.46,0,0
13007,"0917",1.54,3.08,0,0
13009,"0917",2.16,4.17,0,0
13011,"0917",2.54,5.61,0,0
13013,"0917",3.02,5.69,0,0
13015,"0917",2.26,5.77,0,0
13017,"0917",1.22,4.12,0,0
13019,"0917",0.96,4.10,0,0
13021,"0917",2.11,4.21,0,0
13023,"0917",2.88,4.64,0,0
13025,"0917",2.68,3.85,0,0
13027,"0917",1.60,4.67,0,0
